Nombre,Símbolo,Sector
Arca continental,AC,alimentos 
Accel B,ACCELSAB,servicios
Actinver B,ACTINVRB,financieros
Agriexportadora,AGRIEXPA,alimentos 
Rotoplas SA de CV,AGUA,construcción
Aleatica,ALEATIC,construcción
Alfa A,ALFAA,manufactura
Alpek SAB de CV,ALPEKA,manufactura
Alsea,ALSEA,almentos
Alterna Asesoria Internacional,ALTERNAB,financieros
America Movil ADR,AMXB,telecomunicaciones
Anheuser Busch Inbev,ANB,alimentos 
Consorcio Ara,ARA,construcción
Consorcio Aristos,ARISTOSA,construcción 
Asur  B,ASURB,servicios
Minera Autlan B,AUTLANB,bienes
Axtel Cpo,AXTELCPO,telecomunicaciones
Tv Azteca Cpo,AZTECACPO,telecomunicaciones
Industrias Bachoco,BACHOCOB,básicos
Bafar B,BAFARB,básicos
Banco del Bajio,BBAJIOO,financieros
BBVA,BBVA,financieros
Farmacias Benavides B,BEVIDESB,salud
Bimbo,BIMBOA,alimentos 
Bolsa Mexicana de Valores A,BOLSAA,financieros
Santander Mexico B,BSMXB,financieros
Empresas Cablevision,CABLECPO,telecomunicaciones
Cadu Inmobiliaria SA de CV,CADUA,construcción
Cemex,CEMEXCPO,construcción 
Internacional  Ceramica B,CERAMICB,construcción 
Grupo Comercial Chedraui B,CHDRAUIB,tiendas
Grupe SAB de CV,CIDMEGA,turismo
Corporacion Interamericana de Entretenimiento,CIEB,turismo
Moctezuma,CMOCTEZ,construcción
Mexicana Rest B,CMRB,alimentos 
Collado SA,COLLADO,manufactura
Convertidora Industrial SAB De CV,CONVERA,manufactura
Credito Real SAPI,CREAL,financieros
Becle,CUERVO,alimentos 
Cultiba SAB,CULTIBAB,alimentos 
Cydsa A,CYDSASAA,manufactura
Dine A,DINEA,construcción 
Dine B,DINEB,construcción 
Edoardos Martin B,EDOARDOB,manufactura
Elektra,ELEKTRA,tiendas
Coca Cola Femsa UB,FEMSAUB,alimentos 
Fomento Economico Mexicano UBD,FEMSAUBD,alimentos 
Finamex O,FINAMEXO,financieros
Financiera Independencia,FINDEP,financieros
Fragua B,FRAGUAB,salud
Fresnillo,FRES,bienes
Grupo Aeroportuario del Pacifico B,GAPB,servicios
Grupo Acosta Verde,GAVA,construcción 
Grupo Bursatil Mexicano,GBMO,financieros
Gbm Inversiones Bursatiles Sa De,GBMV1BO,financieros
Grupo Carso A1,GCARSOA1,controladora 
GCC SAB de CV,GCC,construcción
Gentera SAB de CV,GENTERA,financieros
Grupo Famsa A,GFAMSAA,tiendas
Grupo Financiero Inbursa,GFINBURO,financieros
Grupo Financiero Multiva,GFMULTIO,financieros
Financiero Banorte,GFNORTEO,financieros
Grupo Gicsa SA de CV,GICSAB,construcción
Gigante,GIGANTE,alimentos 
Grupo Industrial Saltillo SAB de CV,GISSAA,tiendas
Grupo Mexicano de Desarrollo (GMD),GMD,construcción 
Gmexico,GMEXICOB,bienes
GMexico Transportes,GMXT,servicios
Grupo Nacional Provincial,GNP,seguros
GOMO,GOMO,tiendas
Grupo Palacio 1,GPH1,tiendas
Grupo Profuturo,GPROFUT,financieros
Gruma SAB de CV,GRUMAB,basicos
Grupo Sanborns SAB de CV,GSANBORB1,tiendas
Hoteles City Express SAB de CV,HCITY,turismo
Herdez,HERDEZ,alimentos 
Himexsa,HIMEXSAA,tiendas
Desarrolladora Homex,HOMEX,construcción 
Grupo Hotelero Santa Fe SAB de CV,HOTEL,turismo
IASASA,IASASA,tiendas
Empresas ICA,ICA,construcción 
Industrias Ch B,ICHB,manufactura
IDEAL B1,IDEALB1,construcción 
Invex Control A,INVEXA,financieros
Servicios Corporativos Javer,JAVER,construcción 
Kimberly-Clark de Mexico A,KIMBERA,tiendas
Kimberly-Clark de Mexico B,KIMBERB,tiendas
Coca Cola Femsa L,KOFUBL,alimentos 
KUO A,KUOA,controladora 
KUO B,KUOB,controladora 
Genomma Lab B,LABB,salud
Lamercial,LACOMERUBC,tiendas
Lamosa,LAMOSA,construcción 
LASEG,LASEG,seguros
Sitios Latinoamerica,LASITEB1,telecomunicaciones
El Puerto de Liverpool,LIVEPOL1,tiendas
El Puerto de Liverpool C,LIVEPOLC1,tiendas
Medica SUR B,MEDICAB,salud
